Date,Open,High,Low,Close,Adj Close,Volume
1430746200,228.17999267578125,234.72999572753906,227.11000061035156,230.50999450683594,230.50999450683594,4434600
1430832600,237.75999450683594,239.5,229.1300048828125,232.9499969482422,232.9499969482422,5796900
1430919000,234.10000610351562,234.47000122070312,228.1999969482422,230.42999267578125,230.42999267578125,5270900
1431005400,221.0,237.47999572753906,220.25,236.8000030517578,236.8000030517578,9455900
1431091800,235.99000549316406,238.41000366210938,233.6999969482422,236.61000061035156,236.61000061035156,4668200
1431351000,236.2899932861328,242.8800048828125,235.30999755859375,239.49000549316406,239.49000549316406,5672300
1431437400,240.11000061035156,246.35000610351562,238.19000244140625,244.74000549316406,244.74000549316406,6363400
1431523800,247.61000061035156,248.3000030517578,242.25,243.17999267578125,243.17999267578125,5440200
1431610200,244.82000732421875,244.88999938964844,241.25,244.10000610351562,244.10000610351562,2895900
1431696600,243.92999267578125,249.39999389648438,242.5,248.83999633789062,248.83999633789062,4527600
1431955800,247.0,249.89999389648438,246.0,248.75,248.75,3348000
1432042200,248.42999267578125,251.0,246.14999389648438,247.13999938964844,247.13999938964844,3674200
1432128600,247.1300048828125,247.74000549316406,241.3699951171875,244.35000610351562,244.35000610351562,3755600
1432215000,243.02999877929688,246.6199951171875,242.36000061035156,245.6199951171875,245.6199951171875,1970600
1432301400,245.3800048828125,248.60000610351562,245.00999450683594,247.72999572753906,247.72999572753906,2223100
1432647000,247.67999267578125,252.0,246.5,247.4600067138672,247.4600067138672,3498700
1432733400,248.50999450683594,249.5,245.5500030517578,247.42999267578125,247.42999267578125,3408200
1432819800,247.02999877929688,251.8000030517578,245.0500030517578,251.4499969482422,251.4499969482422,3647300
1432906200,251.0,252.8699951171875,249.42999267578125,250.8000030517578,250.8000030517578,3781700
1433165400,251.41000366210938,251.60000610351562,247.47000122070312,249.4499969482422,249.4499969482422,2505100
1433251800,248.9199981689453,249.39999389648438,246.3000030517578,248.35000610351562,248.35000610351562,2125800
1433338200,248.1999969482422,250.72000122070312,247.00999450683594,248.99000549316406,248.99000549316406,1781500
1433424600,247.5,249.3000030517578,245.7100067138672,245.9199981689453,245.9199981689453,2453600
